67,11,northBoundLatitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.northBoundLatitude.Decimal,,end,
68,11,southBoundLatitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal,,end,
71,11,Url,MD_Metadata.distributionInfo.MD_Distribution.transferOptions.MD_DigitalTransferOptions.onLine.CI_OnlineResource.linkage.URL,,end,
72,11,name,MD_Metadata.distributionInfo.MD_Distribution.transferOptions.MD_DigitalTransferOptions.onLine.CI_OnlineResource.name.CharacterString,,end,
73,11,function,MD_Metadata.distributionInfo.MD_Distribution.transferOptions.MD_DigitalTransferOptions.onLine.CI_OnlineResource.protocol.CharacterString,,end,
74,11,individualName,MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.citedResponsibleParty.CI_ResponsibleParty.individualName.CharacterString,,end,
75,11,electronicMailAddress,MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.citedResponsibleParty.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.electronicMailAddress.CharacterString,,end,
76,11,positionName,MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.citedResponsibleParty.CI_ResponsibleParty.role.CI_RoleCode._,,end,
77,11,organisationName,MD_Metadata.contact.CI_ResponsibleParty.organisationName.CharacterString,,end,
79,11,eastBoundLongitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.1.EX_Extent.geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal,,end,
80,11,westBoundLongitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.1.EX_Extent.geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal,,end,
81,11,northBoundLatitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.1.EX_Extent.geographicElement.EX_GeographicBoundingBox.northBoundLatitude.Decimal,,end,
82,11,southBoundLatitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.1.EX_Extent.geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal,,end,
83,11,linkdesc,MD_Metadata.distributionInfo.MD_Distribution.transferOptions.3.MD_DigitalTransferOptions.onLine.CI_OnlineResource.description.CharacterString,,end,
85,11,eastBoundLongitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal,,end,
86,11,westBoundLongitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal,,end,
87,11,northBoundLatitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.northBoundLongitude.Decimal,,end,
88,11,southBoundLatitude,MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.southBoundLongitude.Decimal,,end,
89,10,abstract,,,end,12
90,10,guid,,,end,12
91,10,title,,,end,12
92,10,citation_date,,,end,12
94,10,metadataStandardVersion,,,end,12
93,10,metadataStandardName,,,end,12
95,10,eastBoundLongitude,,,end,13
96,10,westBoundLongitude,,,end,13
97,10,northBoundLatitude,,,end,13
98,10,southBoundLatitude,,,end,13
99,10,Url,,,end,13
100,10,name,,,end,13
101,10,function,,,end,13
102,10,linkdesc,,,end,13
103,10,contact.individualName,,,end,13
104,10,individualName,,,end,13
105,10,contact.electronicMailAddress,,,end,13
106,10,electronicMailAddress,,,end,13
107,10,contact.organisationName,,,end,13
108,10,organisationName,,,end,13
109,10,contact.positionName,,,end,13
110,10,positionName,,,end,13
111,10,keywords,,,object,13
112,10,OnlineResource,,,object,13
113,1,guid,MD_Metadata.fileIdentifier.CharacterString,,end,12
114,1,title,MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString,,end,12
121,1,abstract,MD_Metadata.identificationInfo.abstract.CharacterString,,end,12
124,16,guid,MD_Metadata.fileIdentifier.CharacterString,,end,12
125,16,title,MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString,,end,12
126,16,abstract,MD_Metadata.identificationInfo.MD_DataIdentification.citation.abstract.CharacterString,,end,12
127,16,abstract,MD_Metadata.identificationInfo.MD_DataIdentification.abstract.CharacterString,,end,12
128,1,citation_date,MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.date.CI_Date.date.DateTime,,end,12
129,1,abstract,MD_Metadata.identificationInfo.abstract.CharacterString,,end,12
130,6,metadataStandardName,metadataStandardName.CharacterString,,end,12
131,6,metadataStandardVersion,metadataStandardVersion.CharacterString,,end,12
133,11,metadataStandardName,MD_Metadata.metadataStandardName.CharacterString,,end,12
132,11,metadataStandardVersion,MD_Metadata.metadataStandardVersion.CharacterString,,end,12
69,11,guid,MD_Metadata.fileIdentifier.CharacterString,,end,12
70,11,guid,MD_Metadata.fileIdentifier.nothis,,end,12
50,11,keywords,MD_Metadata.identificationInfo.MD_DataIdentification.descriptiveKeywords,,object,12
